2017-05-12 12:37:15.373361 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] Populating workers...
2017-05-12 12:37:15.373831 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] Populated
2017-05-12 12:38:29.839195 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #0 | Training started
2017-05-12 12:38:31.911284 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #0 | Training finished
2017-05-12 12:38:31.911878 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #1 | Training started
2017-05-12 12:38:33.630274 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #1 | Training finished
2017-05-12 12:38:33.630862 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #2 | Training started
2017-05-12 12:38:35.337874 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #2 | Training finished
2017-05-12 12:38:35.338446 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #3 | Training started
2017-05-12 12:38:36.840733 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #3 | Training finished
2017-05-12 12:38:37.153285 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #4 | Training started
2017-05-12 12:38:38.811199 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #4 | Training finished
2017-05-12 12:38:38.811788 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #5 | Training started
2017-05-12 12:38:40.141480 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #5 | Training finished
2017-05-12 12:38:40.141855 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #6 | Training started
2017-05-12 12:38:41.416658 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #6 | Training finished
2017-05-12 12:38:41.417167 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #7 | Training started
2017-05-12 12:38:42.865933 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #7 | Training finished
2017-05-12 12:38:42.866490 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #8 | Training started
2017-05-12 12:38:44.615763 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #8 | Training finished
2017-05-12 12:38:44.616201 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #9 | Training started
2017-05-12 12:38:46.213566 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #9 | Training finished
2017-05-12 12:38:46.214033 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #9 | Collecting samples for evaluation
2017-05-12 12:39:04.170403 EDT | -----------------------  ------------
2017-05-12 12:39:04.503348 EDT | Epoch                     9
2017-05-12 12:39:04.504842 EDT | AverageReturn            55.2187
2017-05-12 12:39:04.505635 EDT | StdReturn                23.7712
2017-05-12 12:39:04.505966 EDT | MaxReturn                88.5799
2017-05-12 12:39:04.506253 EDT | MinReturn                16.1174
2017-05-12 12:39:04.506534 EDT | AverageEsReturn           9.35438
2017-05-12 12:39:04.506815 EDT | StdEsReturn               6.26105
2017-05-12 12:39:04.507089 EDT | MaxEsReturn              48.5751
2017-05-12 12:39:04.507368 EDT | MinEsReturn               2.6598
2017-05-12 12:39:04.507648 EDT | AverageDiscountedReturn  42.829
2017-05-12 12:39:04.507926 EDT | AverageQLoss              0.000236903
2017-05-12 12:39:04.508196 EDT | AveragePolicySurr        -0.0422833
2017-05-12 12:39:04.508474 EDT | AverageQ                  0.00744277
2017-05-12 12:39:04.508748 EDT | AverageAbsQ               0.0104291
2017-05-12 12:39:04.509074 EDT | AverageY                  0.0152266
2017-05-12 12:39:04.509358 EDT | AverageAbsY               0.0162792
2017-05-12 12:39:04.509641 EDT | AverageAbsQYDiff          0.0129767
2017-05-12 12:39:04.509923 EDT | AverageAction             0.00464819
2017-05-12 12:39:04.510206 EDT | PolicyRegParamNorm       14.1718
2017-05-12 12:39:04.510477 EDT | QFunRegParamNorm          7.99689
2017-05-12 12:39:04.510758 EDT | AverageForwardProgress    0.229706
2017-05-12 12:39:04.511032 EDT | MaxForwardProgress        0.530847
2017-05-12 12:39:04.511325 EDT | MinForwardProgress       -0.0966525
2017-05-12 12:39:04.511592 EDT | StdForwardProgress        0.188189
2017-05-12 12:39:04.511870 EDT | -----------------------  ------------
2017-05-12 12:39:04.512623 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #10 | Training started
2017-05-12 12:39:15.827127 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #10 | Training finished
2017-05-12 12:39:16.180034 EDT | [Paper_Final_Averaged_DDPG/DDPG_Hopper/Experiment_0] epoch #10 | Collecting samples for evaluation
2017-05-12 12:39:33.200090 EDT | -----------------------  ------------
2017-05-12 12:39:33.201828 EDT | Epoch                    10
2017-05-12 12:39:33.202842 EDT | AverageReturn             4.25106
2017-05-12 12:39:33.204279 EDT | StdReturn                 0.571473
2017-05-12 12:39:33.205566 EDT | MaxReturn                 6.76156
2017-05-12 12:39:33.207001 EDT | MinReturn                 2.13683
2017-05-12 12:39:33.208445 EDT | AverageEsReturn           4.03003
2017-05-12 12:39:33.209543 EDT | StdEsReturn               1.93558
2017-05-12 12:39:33.211417 EDT | MaxEsReturn              20.464
2017-05-12 12:39:33.213515 EDT | MinEsReturn               2.12663
2017-05-12 12:39:33.217270 EDT | AverageDiscountedReturn   4.18226
2017-05-12 12:39:33.219271 EDT | AverageQLoss              0.000104634
2017-05-12 12:39:33.220650 EDT | AveragePolicySurr        -0.0265739
2017-05-12 12:39:33.222172 EDT | AverageQ                  0.0227969
2017-05-12 12:39:33.223972 EDT | AverageAbsQ               0.0229548
