2017-05-11 18:20:30.064255 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] Populating workers...
2017-05-11 18:20:30.064871 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] Populated
2017-05-11 18:20:34.829598 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #0 | Training started
2017-05-11 18:20:34.831234 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #0 | Populating workers...
2017-05-11 18:20:34.831576 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #0 | Populated
2017-05-11 18:21:46.618998 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #0 | Training finished
2017-05-11 18:21:46.620308 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #1 | Training started
2017-05-11 18:21:46.627054 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #1 | Populating workers...
2017-05-11 18:21:46.627751 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #1 | Populated
2017-05-11 18:23:07.860234 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #1 | Training finished
2017-05-11 18:23:07.861814 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #2 | Training started
2017-05-11 18:23:07.868780 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #2 | Populating workers...
2017-05-11 18:23:07.869161 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #2 | Populated
2017-05-11 18:24:26.160860 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #2 | Training finished
2017-05-11 18:24:26.162197 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #3 | Training started
2017-05-11 18:24:26.170861 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #3 | Populating workers...
2017-05-11 18:24:26.171537 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #3 | Populated
2017-05-11 18:25:47.296482 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #3 | Training finished
2017-05-11 18:25:47.297655 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #4 | Training started
2017-05-11 18:25:47.304638 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #4 | Populating workers...
2017-05-11 18:25:47.305249 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #4 | Populated
2017-05-11 18:27:12.371724 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #4 | Training finished
2017-05-11 18:27:12.372937 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #5 | Training started
2017-05-11 18:27:12.379910 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #5 | Populating workers...
2017-05-11 18:27:12.380555 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #5 | Populated
2017-05-11 18:28:49.135862 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #5 | Training finished
2017-05-11 18:28:49.136820 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #6 | Training started
2017-05-11 18:28:49.142288 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #6 | Populating workers...
2017-05-11 18:28:49.142683 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #6 | Populated
2017-05-11 18:30:16.689052 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #6 | Training finished
2017-05-11 18:30:16.690241 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #7 | Training started
2017-05-11 18:30:16.697320 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #7 | Populating workers...
2017-05-11 18:30:16.697978 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #7 | Populated
2017-05-11 18:31:07.331063 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #7 | Training finished
2017-05-11 18:31:07.332074 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #8 | Training started
2017-05-11 18:31:07.340548 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #8 | Populating workers...
2017-05-11 18:31:07.341396 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #8 | Populated
2017-05-11 18:32:32.566802 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #8 | Training finished
2017-05-11 18:32:32.572769 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #9 | Training started
2017-05-11 18:32:32.600958 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #9 | Populating workers...
2017-05-11 18:32:32.603175 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #9 | Populated
2017-05-11 18:33:52.542836 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #9 | Training finished
2017-05-11 18:33:52.888738 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #10 | Training started
2017-05-11 18:33:52.895437 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #10 | Populating workers...
2017-05-11 18:33:52.895830 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #10 | Populated
2017-05-11 18:36:49.296456 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #10 | Training finished
2017-05-11 18:36:49.297627 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #10 | Collecting samples for evaluation
2017-05-11 18:37:53.299098 EDT | ------------------------------  ------------
2017-05-11 18:37:53.299659 EDT | Epoch                           10
2017-05-11 18:37:53.300008 EDT | AverageReturn                    0
2017-05-11 18:37:53.300346 EDT | StdReturn                        0
2017-05-11 18:37:53.300684 EDT | MaxReturn                        0
2017-05-11 18:37:53.301026 EDT | MinReturn                        0
2017-05-11 18:37:53.301373 EDT | AverageEsReturn                  0
2017-05-11 18:37:53.301718 EDT | StdEsReturn                      0
2017-05-11 18:37:53.302064 EDT | MaxEsReturn                      0
2017-05-11 18:37:53.302408 EDT | MinEsReturn                      0
2017-05-11 18:37:53.302753 EDT | AverageDiscountedReturn          0
2017-05-11 18:37:53.303100 EDT | AverageQLoss                     2.13017e-06
2017-05-11 18:37:53.306161 EDT | AveragePolicySurr                3.52244e-05
2017-05-11 18:37:53.306511 EDT | AverageQ                        -0.000541018
2017-05-11 18:37:53.306856 EDT | AverageAbsQ                      0.00225057
2017-05-11 18:37:53.307200 EDT | AverageY                        -0.000581518
2017-05-11 18:37:53.307555 EDT | AverageAbsY                      0.00229371
2017-05-11 18:37:53.307900 EDT | AverageAbsQYDiff                 0.000696835
2017-05-11 18:37:53.308246 EDT | AverageAction                    0.804786
2017-05-11 18:37:53.308591 EDT | PolicyRegParamNorm              17.5508
2017-05-11 18:37:53.308935 EDT | QFunRegParamNorm                14.9171
2017-05-11 18:37:53.309279 EDT | Gather_AverageReturn             0
2017-05-11 18:37:53.309627 EDT | Gather_StdReturn                 0
2017-05-11 18:37:53.309971 EDT | Gather_MedianReturn              0
2017-05-11 18:37:53.310314 EDT | Gather_MinReturn                 0
2017-05-11 18:37:53.310657 EDT | Gather_MaxReturn                 0
2017-05-11 18:37:53.311002 EDT | wrapped_AverageReturn           -5.62935
2017-05-11 18:37:53.321827 EDT | wrapped_AverageForwardProgress  -0.0797989
2017-05-11 18:37:53.322264 EDT | wrapped_MaxForwardProgress       0.107015
2017-05-11 18:37:53.322617 EDT | wrapped_MinForwardProgress      -0.519653
2017-05-11 18:37:53.322969 EDT | wrapped_StdForwardProgress       0.127031
2017-05-11 18:37:53.323318 EDT | ------------------------------  ------------
2017-05-11 18:37:53.324044 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #11 | Training started
2017-05-11 18:37:53.379130 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #11 | Populating workers...
2017-05-11 18:37:53.379679 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #11 | Populated
2017-05-11 18:40:13.340432 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #11 | Training finished
2017-05-11 18:40:13.342402 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #11 | Collecting samples for evaluation
2017-05-11 18:41:17.580962 EDT | ------------------------------  ------------
2017-05-11 18:41:17.581848 EDT | Epoch                           11
2017-05-11 18:41:17.582328 EDT | AverageReturn                    0
2017-05-11 18:41:17.582758 EDT | StdReturn                        0
2017-05-11 18:41:17.583202 EDT | MaxReturn                        0
2017-05-11 18:41:17.583970 EDT | MinReturn                        0
2017-05-11 18:41:17.584366 EDT | AverageEsReturn                  0
2017-05-11 18:41:17.584762 EDT | StdEsReturn                      0
2017-05-11 18:41:17.585211 EDT | MaxEsReturn                      0
2017-05-11 18:41:17.585661 EDT | MinEsReturn                      0
2017-05-11 18:41:17.586109 EDT | AverageDiscountedReturn          0
2017-05-11 18:41:17.586555 EDT | AverageQLoss                     3.01995e-07
2017-05-11 18:41:17.587002 EDT | AveragePolicySurr               -4.99215e-05
2017-05-11 18:41:17.587462 EDT | AverageQ                        -0.000696413
2017-05-11 18:41:17.587909 EDT | AverageAbsQ                      0.0018259
2017-05-11 18:41:17.588356 EDT | AverageY                        -0.000695782
2017-05-11 18:41:17.588800 EDT | AverageAbsY                      0.00185169
2017-05-11 18:41:17.589707 EDT | AverageAbsQYDiff                 0.000328851
2017-05-11 18:41:17.590232 EDT | AverageAction                    0.846066
2017-05-11 18:41:17.590754 EDT | PolicyRegParamNorm              17.4854
2017-05-11 18:41:17.591393 EDT | QFunRegParamNorm                15.0153
2017-05-11 18:41:17.591912 EDT | Gather_AverageReturn             0
2017-05-11 18:41:17.592431 EDT | Gather_StdReturn                 0
2017-05-11 18:41:17.592946 EDT | Gather_MedianReturn              0
2017-05-11 18:41:17.593466 EDT | Gather_MinReturn                 0
2017-05-11 18:41:17.593985 EDT | Gather_MaxReturn                 0
2017-05-11 18:41:17.594502 EDT | wrapped_AverageReturn           -6.8216
2017-05-11 18:41:17.595026 EDT | wrapped_AverageForwardProgress  -0.129557
2017-05-11 18:41:17.595562 EDT | wrapped_MaxForwardProgress       0.224108
2017-05-11 18:41:17.596007 EDT | wrapped_MinForwardProgress      -0.371725
2017-05-11 18:41:17.596489 EDT | wrapped_StdForwardProgress       0.188783
2017-05-11 18:41:17.597005 EDT | ------------------------------  ------------
2017-05-11 18:41:17.597820 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #12 | Training started
2017-05-11 18:41:17.606142 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #12 | Populating workers...
2017-05-11 18:41:17.606927 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #12 | Populated
2017-05-11 18:43:31.015565 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #12 | Training finished
2017-05-11 18:43:31.016826 EDT | [Averaged_PolyRL/PolyRL_DDPG_Swimmer_Gather/Final_Run_LP_2/] epoch #12 | Collecting samples for evaluation
2017-05-11 18:44:38.919037 EDT | ------------------------------  ------------
2017-05-11 18:44:38.923432 EDT | Epoch                           12
2017-05-11 18:44:38.923843 EDT | AverageReturn                    0
2017-05-11 18:44:38.924203 EDT | StdReturn                        0
2017-05-11 18:44:38.924559 EDT | MaxReturn                        0
2017-05-11 18:44:38.924915 EDT | MinReturn                        0
2017-05-11 18:44:38.925268 EDT | AverageEsReturn                  0
2017-05-11 18:44:38.925620 EDT | StdEsReturn                      0
2017-05-11 18:44:38.925971 EDT | MaxEsReturn                      0
2017-05-11 18:44:38.926321 EDT | MinEsReturn                      0
2017-05-11 18:44:38.926678 EDT | AverageDiscountedReturn          0
2017-05-11 18:44:38.927031 EDT | AverageQLoss                     1.74468e-07
2017-05-11 18:44:38.931464 EDT | AveragePolicySurr               -0.000825323
2017-05-11 18:44:38.931883 EDT | AverageQ                         5.62086e-05
2017-05-11 18:44:38.932243 EDT | AverageAbsQ                      0.00156397
2017-05-11 18:44:38.932599 EDT | AverageY                         5.62942e-05
2017-05-11 18:44:38.932951 EDT | AverageAbsY                      0.00158765
2017-05-11 18:44:38.933303 EDT | AverageAbsQYDiff                 0.000223093
2017-05-11 18:44:38.933667 EDT | AverageAction                    0.997064
2017-05-11 18:44:38.934020 EDT | PolicyRegParamNorm              17.5044
2017-05-11 18:44:38.934383 EDT | QFunRegParamNorm                15.0729
